Start Time, End Time, Activity Number, Activity, PID
02/12/2020 14:53:46-04:00,02/12/2020 14:56:48-04:00,8,  Eating and Drinking,10
02/12/2020 14:58:06-04:00,02/12/2020 15:01:08-04:00,1, Mobile Phone,10
02/12/2020 15:03:02-04:00,02/12/2020 15:06:09-04:00,5,  Leisure Walk,10
02/12/2020 15:08:07-04:00,02/12/2020 15:11:10-04:00,6,  Moving items,10
02/12/2020 15:13:04-04:00,02/12/2020 15:16:05-04:00,3,  Computer Tasks,10
02/12/2020 15:18:56-04:00,02/12/2020 15:21:59-04:00,10, Adjusting Eyeglass,10
02/12/2020 15:24:25-04:00,02/12/2020 15:27:28-04:00,7,  Repeated Face Touching,10
02/12/2020 15:29:02-04:00,02/12/2020 15:32:04-04:00,9,  Simulated Smoking,10
02/12/2020 15:34:02-04:00,02/12/2020 15:37:04-04:00,2,  Lying Flat,10
02/12/2020 15:39:08-04:00,02/12/2020 15:42:10-04:00,4,  Writing,10
